x,y,dy/dx
-2.000,2.000,12.000
-1.800,4.400,22.176
-1.600,8.835,36.754
-1.400,16.186,54.385
-1.200,27.063,71.447
-1.000,41.352,82.705
-0.800,57.893,83.367
-0.600,74.567,71.584
-0.400,88.884,49.775
-0.200,98.839,23.721
0.000,103.583,0.000
0.200,103.583,-16.573
0.400,100.268,-24.064
0.600,95.455,-22.909
0.800,90.873,-14.540
1.000,87.965,0.000
1.200,87.965,21.112
1.400,92.188,51.625
1.600,102.513,98.412
1.800,122.195,175.961
2.000,157.388,314.775
x,y,dy/dx
-2.000,2.000,12.000
-1.900,3.200,17.632
-1.800,4.963,25.015
-1.700,7.465,34.263
-1.600,10.891,45.306
-1.500,15.422,57.831
-1.400,21.205,71.248
-1.300,28.329,84.705
-1.200,36.800,97.152
-1.100,46.515,107.450
-1.000,57.260,114.520
-0.900,68.712,117.498
-0.800,80.462,115.865
-0.700,92.048,109.537
-0.600,103.002,98.882
-0.500,112.890,84.668
-0.400,121.357,67.960
-0.300,128.153,49.980
-0.200,133.151,31.956
-0.100,136.347,14.998
0.000,137.846,0.000
0.100,137.846,-12.406
0.200,136.606,-21.857
0.300,134.420,-28.228
0.400,131.597,-31.583
0.500,128.439,-32.110
0.600,125.228,-30.055
0.700,122.222,-25.667
0.800,119.656,-19.145
0.900,117.741,-10.597
1.000,116.682,0.000
1.100,116.682,12.835
1.200,117.965,28.312
1.300,120.796,47.111
1.400,125.507,70.284
1.500,132.536,99.402
1.600,142.476,136.777
1.700,156.154,185.823
1.800,174.736,251.620
1.900,199.898,341.825
2.000,234.080,468.161
x,y,dy/dx
-2.000,2.000,12.000
-1.950,2.600,14.957
-1.900,3.348,18.447
-1.850,4.270,22.514
-1.800,5.396,27.195
-1.750,6.756,32.511
-1.700,8.381,38.470
-1.650,10.305,45.057
-1.600,12.558,52.239
-1.550,15.170,59.958
-1.500,18.167,68.128
-1.450,21.574,76.641
-1.400,25.406,85.364
-1.350,29.674,94.141
-1.300,34.381,102.799
-1.250,39.521,111.153
-1.200,45.079,119.008
-1.150,51.029,126.169
-1.100,57.337,132.450
-1.050,63.960,137.674
-1.000,70.844,141.687
-0.950,77.928,144.362
-0.900,85.146,145.600
-0.850,92.426,145.340
-0.800,99.693,143.558
-0.750,106.871,140.268
-0.700,113.884,135.522
-0.650,120.661,129.408
-0.600,127.131,122.046
-0.550,133.233,113.581
-0.500,138.912,104.184
-0.450,144.122,94.039
-0.400,148.824,83.341
-0.350,152.991,72.288
-0.300,156.605,61.076
-0.250,159.659,49.893
-0.200,162.153,38.917
-0.150,164.099,28.307
-0.100,165.515,18.207
-0.050,166.425,8.737
0.000,166.862,0.000
0.050,166.862,-7.926
0.100,166.466,-14.982
0.150,165.716,-21.129
0.200,164.660,-26.346
0.250,163.343,-30.627
0.300,161.811,-33.980
0.350,160.112,-36.426
0.400,158.291,-37.990
0.450,156.392,-38.707
0.500,154.456,-38.614
0.550,152.526,-37.750
0.600,150.638,-36.153
0.650,148.830,-33.859
0.700,147.137,-30.899
0.750,145.592,-27.299
0.800,144.228,-23.076
0.850,143.074,-18.242
0.900,142.162,-12.795
0.950,141.522,-6.722
1.000,141.186,0.000
1.050,141.186,7.412
1.100,141.556,15.571
1.150,142.335,24.553
1.200,143.563,34.455
1.250,145.285,45.402
1.300,147.555,57.547
1.350,150.433,71.079
1.400,153.987,86.233
1.450,158.298,103.290
1.500,163.463,122.597
1.550,169.593,144.578
1.600,176.822,169.749
1.650,185.309,198.744
1.700,195.246,232.343
1.750,206.863,271.508
1.800,220.439,317.432
1.850,236.310,371.598
1.900,254.890,435.862
1.950,276.683,512.556
2.000,302.311,604.623
