x,y,dy/dx
0.000,1.000,0.750
0.200,1.150,0.840
0.400,1.318,0.884
0.600,1.495,0.860
0.800,1.667,0.745
1.000,1.816,0.527
1.200,1.921,0.216
1.400,1.964,-0.157
1.600,1.933,-0.540
1.800,1.825,-0.871
2.000,1.651,-1.100
2.200,1.431,-1.200
2.400,1.191,-1.176
2.600,0.956,-1.058
2.800,0.744,-0.887
3.000,0.567,-0.703
3.200,0.426,-0.532
3.400,0.320,-0.389
3.600,0.242,-0.277
3.800,0.186,-0.194
4.000,0.148,-0.133
4.200,0.121,-0.090
4.400,0.103,-0.057
4.600,0.092,-0.033
4.800,0.085,-0.014
5.000,0.082,0.003
5.200,0.083,0.018
5.400,0.086,0.033
5.600,0.093,0.049
5.800,0.103,0.065
6.000,0.116,0.082
6.200,0.132,0.099
6.400,0.152,0.113
6.600,0.175,0.122
6.800,0.199,0.123
7.000,0.224,0.113
7.200,0.246,0.088
7.400,0.264,0.050
7.600,0.274,0.000
7.800,0.274,-0.054
8.000,0.263,-0.104
8.200,0.242,-0.143
8.400,0.214,-0.164
8.600,0.181,-0.168
8.800,0.147,-0.156
9.000,0.116,-0.135
9.200,0.089,-0.109
9.400,0.067,-0.084
9.600,0.050,-0.062
9.800,0.038,-0.045
10.000,0.029,-0.032
x,y,dy/dx
0.000,1.000,0.750
0.002,1.002,0.751
0.004,1.003,0.752
0.006,1.005,0.753
0.008,1.006,0.754
0.010,1.008,0.756
0.012,1.009,0.757
0.014,1.011,0.758
0.016,1.012,0.759
0.018,1.014,0.760
0.020,1.015,0.761
0.022,1.017,0.762
0.024,1.018,0.763
0.026,1.020,0.764
0.028,1.021,0.766
0.030,1.023,0.767
0.032,1.024,0.768
0.034,1.026,0.769
0.036,1.027,0.770
0.038,1.029,0.771
0.040,1.030,0.772
0.042,1.032,0.773
0.044,1.034,0.774
0.046,1.035,0.775
0.048,1.037,0.776
0.050,1.038,0.777
0.052,1.040,0.778
0.054,1.041,0.779
0.056,1.043,0.780
0.058,1.044,0.782
0.060,1.046,0.783
0.062,1.048,0.784
0.064,1.049,0.785
0.066,1.051,0.786
0.068,1.052,0.787
0.070,1.054,0.788
0.072,1.055,0.789
0.074,1.057,0.790
0.076,1.059,0.791
0.078,1.060,0.792
0.080,1.062,0.793
0.082,1.063,0.794
0.084,1.065,0.795
0.086,1.066,0.796
0.088,1.068,0.797
0.090,1.070,0.798
0.092,1.071,0.799
0.094,1.073,0.800
0.096,1.074,0.801
0.098,1.076,0.802
0.100,1.078,0.803
0.102,1.079,0.804
0.104,1.081,0.805
0.106,1.082,0.806
0.108,1.084,0.807
0.110,1.086,0.808
0.112,1.087,0.809
0.114,1.089,0.810
0.116,1.091,0.811
0.118,1.092,0.812
0.120,1.094,0.812
0.122,1.095,0.813
0.124,1.097,0.814
0.126,1.099,0.815
0.128,1.100,0.816
0.130,1.102,0.817
0.132,1.104,0.818
0.134,1.105,0.819
0.136,1.107,0.820
0.138,1.108,0.821
0.140,1.110,0.822
0.142,1.112,0.823
0.144,1.113,0.824
0.146,1.115,0.824
0.148,1.117,0.825
0.150,1.118,0.826
0.152,1.120,0.827
0.154,1.122,0.828
0.156,1.123,0.829
0.158,1.125,0.830
0.160,1.127,0.831
0.162,1.128,0.831
0.164,1.130,0.832
0.166,1.132,0.833
0.168,1.133,0.834
0.170,1.135,0.835
0.172,1.137,0.836
0.174,1.138,0.837
0.176,1.140,0.837
0.178,1.142,0.838
0.180,1.143,0.839
0.182,1.145,0.840
0.184,1.147,0.841
0.186,1.148,0.841
0.188,1.150,0.842
0.190,1.152,0.843
0.192,1.153,0.844
0.194,1.155,0.845
0.196,1.157,0.845
0.198,1.158,0.846
0.200,1.160,0.847
0.202,1.162,0.848
0.204,1.164,0.849
0.206,1.165,0.849
0.208,1.167,0.850
0.210,1.169,0.851
0.212,1.170,0.852
0.214,1.172,0.852
0.216,1.174,0.853
0.218,1.175,0.854
0.220,1.177,0.855
0.222,1.179,0.855
0.224,1.181,0.856
0.226,1.182,0.857
0.228,1.184,0.857
0.230,1.186,0.858
0.232,1.187,0.859
0.234,1.189,0.859
0.236,1.191,0.860
0.238,1.193,0.861
0.240,1.194,0.862
0.242,1.196,0.862
0.244,1.198,0.863
0.246,1.200,0.864
0.248,1.201,0.864
0.250,1.203,0.865
0.252,1.205,0.865
0.254,1.206,0.866
0.256,1.208,0.867
0.258,1.210,0.867
0.260,1.212,0.868
0.262,1.213,0.869
0.264,1.215,0.869
0.266,1.217,0.870
0.268,1.219,0.870
0.270,1.220,0.871
0.272,1.222,0.872
0.274,1.224,0.872
0.276,1.226,0.873
