t,Euler,k1,Midpt,k1,k2,RK4,k1,k2,k3,k4
0.0,0.000000,-9.810000,0.000000,-9.810000,-12.309455,0.000000,-9.810000,-12.309455,-12.309316,-14.808632,
0.1,-0.981000,-14.808910,-1.230946,-14.808632,-17.307810,-1.230936,-14.808632,-17.307810,-17.307671,-19.806709,
0.2,-2.461891,-19.807265,-2.961726,-19.806709,-22.305609,-2.961708,-19.806709,-22.305609,-22.305470,-24.804231,
0.3,-4.442617,-24.805064,-5.192287,-24.804231,-27.302853,-5.192260,-24.804231,-27.302853,-27.302714,-29.801197,
0.4,-6.923124,-29.802308,-7.922573,-29.801197,-32.299542,-7.922536,-29.801197,-32.299542,-32.299403,-34.797608,
0.5,-9.903355,-34.798996,-11.152527,-34.797608,-37.295675,-11.152481,-34.797608,-37.295675,-37.295536,-39.793464,
0.6,-13.383254,-39.795130,-14.882094,-39.793464,-42.291254,-14.882039,-39.793464,-42.291254,-42.291115,-44.788765,
0.7,-17.362767,-44.790708,-19.111220,-44.788765,-47.286277,-19.111155,-44.788765,-47.286277,-47.286138,-49.783511,
0.8,-21.841838,-49.785731,-23.839847,-49.783511,-52.280746,-23.839773,-49.783511,-52.280746,-52.280607,-54.777702,
0.9,-26.820411,-54.780200,-29.067922,-54.777702,-57.274659,-29.067839,-54.777702,-57.274659,-57.274520,-59.771339,
1.0,-32.298431,-59.774113,-34.795388,-59.771338,-62.268018,-34.795295,-59.771339,-62.268018,-62.267879,-64.764420,
1.1,-38.275842,-64.767471,-41.022190,-64.764420,-67.260822,-41.022088,-64.764420,-67.260822,-67.260683,-69.756946,
1.2,-44.752589,-69.760275,-47.748272,-69.756946,-72.253071,-47.748161,-69.756946,-72.253071,-72.252932,-74.748918,
1.3,-51.728617,-74.752524,-54.973579,-74.748918,-77.244766,-54.973459,-74.748918,-77.244766,-77.244627,-79.740336,
1.4,-59.203869,-79.744218,-62.698055,-79.740335,-82.235905,-62.697926,-79.740336,-82.235906,-82.235767,-84.731198,
1.5,-67.178291,-84.735357,-70.921646,-84.731198,-87.226491,-70.921507,-84.731198,-87.226491,-87.226352,-89.721507,
1.6,-75.651827,-89.725942,-79.644295,-89.721506,-92.216522,-79.644147,-89.721507,-92.216522,-92.216383,-94.711260,
1.7,-84.624421,-94.715973,-88.865947,-94.711260,-97.205998,-88.865790,-94.711260,-97.205998,-97.205860,-99.700460,
1.8,-94.096018,-99.705449,-98.586547,-99.700459,-102.194920,-98.586381,-99.700460,-102.194921,-102.194782,-104.689105,
1.9,-104.066563,-104.694370,-108.806039,-104.689104,-107.183288,-108.805864,-104.689105,-107.183289,-107.183150,-109.677195,
2.0,-114.536000,-109.682738,-119.524368,-109.677195,-112.171102,-119.524183,-109.677195,-112.171102,-112.170964,-114.664732,
2.1,-125.504274,-114.670551,-130.741478,-114.664732,-117.158361,-130.741284,-114.664732,-117.158362,-117.158223,-119.651714,
2.2,-136.971329,-119.657810,-142.457314,-119.651714,-122.145067,-142.457111,-119.651714,-122.145067,-122.144928,-124.638143,
2.3,-148.937110,-124.644514,-154.671821,-124.638142,-127.131218,-154.671609,-124.638143,-127.131218,-127.131080,-129.624017,
2.4,-161.401562,-129.630665,-167.384943,-129.624017,-132.116815,-167.384721,-129.624017,-132.116816,-132.116677,-134.609337,
2.5,-174.364628,-134.616262,-180.596624,-134.609337,-137.101859,-180.596394,-134.609337,-137.101859,-137.101721,-139.594104,
2.6,-187.826254,-139.601304,-194.306810,-139.594104,-142.086348,-194.306570,-139.594104,-142.086349,-142.086210,-144.578316,
2.7,-201.786385,-144.585793,-208.515445,-144.578316,-147.070284,-208.515196,-144.578316,-147.070284,-147.070146,-149.561975,
2.8,-216.244964,-149.569728,-223.222473,-149.561975,-152.053666,-223.222215,-149.561975,-152.053666,-152.053528,-154.545080,
2.9,-231.201937,-154.553109,-238.427840,-154.545080,-157.036494,-238.427572,-154.545080,-157.036495,-157.036356,-159.527632,
3.0,-246.657248,-159.535936,-254.131489,-159.527632,-162.018769,-254.131213,-159.527632,-162.018769,-162.018631,-164.509630,
3.1,-262.610841,-164.518210,-270.333366,-164.509630,-167.000490,-270.333080,-164.509630,-167.000490,-167.000352,-169.491074,
3.2,-279.062662,-169.499930,-287.033415,-169.491074,-171.981658,-287.033120,-169.491074,-171.981658,-171.981520,-174.471965,
3.3,-296.012655,-174.481097,-304.231581,-174.471965,-176.962272,-304.231277,-174.471965,-176.962272,-176.962134,-179.452303,
3.4,-313.460765,-179.461710,-321.927808,-179.452302,-181.942333,-321.927495,-179.452303,-181.942333,-181.942195,-184.432087,
3.5,-331.406936,-184.441770,-340.122042,-184.432087,-186.921840,-340.121719,-184.432087,-186.921841,-186.921702,-189.411318,
3.6,-349.851113,-189.421277,-358.814226,-189.411318,-191.900795,-358.813894,-189.411318,-191.900795,-191.900657,-194.389996,
3.7,-368.793241,-194.400230,-378.004305,-194.389995,-196.879196,-378.003964,-194.389996,-196.879196,-196.879058,-199.368120,
3.8,-388.233264,-199.378630,-397.692225,-199.368120,-201.857044,-397.691874,-199.368120,-201.857044,-201.856906,-204.345692,
3.9,-408.171127,-204.356477,-417.877929,-204.345691,-206.834339,-417.877570,-204.345692,-206.834339,-206.834201,-209.322710,
4.0,-428.606774,-209.333770,-438.561363,-209.322710,-211.811081,-438.560994,-209.322710,-211.811081,-211.810943,-214.299175,
4.1,-449.540151,-214.310511,-459.742471,-214.299175,-216.787270,-459.742093,-214.299175,-216.787270,-216.787132,-219.275088,
4.2,-470.971202,-219.286699,-481.421198,-219.275088,-221.762906,-481.420811,-219.275088,-221.762906,-221.762768,-224.250448,
4.3,-492.899872,-224.262333,-503.597489,-224.250447,-226.737989,-503.597092,-224.250448,-226.737989,-226.737851,-229.225255,
4.4,-515.326106,-229.237415,-526.271287,-229.225254,-231.712519,-526.270882,-229.225255,-231.712520,-231.712382,-234.199509,
4.5,-538.249847,-234.211945,-549.442539,-234.199508,-236.686497,-549.442125,-234.199509,-236.686498,-236.686360,-239.173210,
4.6,-561.671042,-239.185921,-573.111189,-239.173210,-241.659922,-573.110765,-239.173210,-241.659923,-241.659785,-244.146359,
